name,openalex_id,works_count,cited_by_count,last_known_institution
Piyanan Khompilo,A5075068880,1,0,Thammasat University
S Pojjanapimol,A5075206963,1,0,Thammasat University
Benjamin Morgan Swierczek,A5075214492,1,1,Thammasat University
ฐิติมาพร พามา,A5075279066,1,0,Cancer Hospital Lopburi
S. Fongsupa,A5075293378,1,1,Thammasat University
P Kooncumchu,A5075352010,1,0,Thammasat University
Chanida Puttichaem,A5075394790,1,11,Thammasat University
Yut S. Akdejayont,A5075411652,1,0,Thammasat University
K. Kittithammo,A5075487915,1,3,Thammasat University
Jeerapong Thanongsaksrikul,A5075506740,1,0,Thammasat University
Veerachai Eursithichai,A5075511524,1,0,Thammasat University
Mohamed Shahud Hussain,A5075538452,1,0,Thammasat University
T. Sutthibun,A5075567241,1,51,Thammasat University
Pakpoom Imphaiboon,A5075569055,1,2,Thammasat University
Amee Nur-E-Jannat,A5075639225,1,7,Thammasat University
Jaranaboon Ketchaimongkol,A5075652589,1,55,Thammasat University
NATTHAPAT SURADOM,A5075669815,1,0,Thammasat University
Amornrat Pomprasit,A5075730530,1,0,Thammasat University
Atiwit Tuekla,A5075783221,1,4,Thammasat University
Rachaya Mahayossanand,A5075833339,1,1,Thammasat University
S. Boonsom,A5075889057,1,18,Thammasat University
Stéphane P. Rousseau,A5075926990,1,12,Thammasat University
Narubordin Chintrakul,A5075968223,1,1,Thammasat University
C. Chaichumporn,A5075999747,1,15,Thammasat University
Hans Rudi Gram,A5076120259,1,0,Thammasat University
Ajantha Geeganage,A5076126429,1,1,Thammasat University
Nipathorn Charutanan,A5076225607,1,9,Thammasat University
Thanakorn Bumrungkitjaroen,A5076230963,1,0,Thammasat University
Anshisa Denvuttivorakarn,A5076280896,1,0,Thammasat University
Paphon Pariponpochanapisuti,A5076286117,1,0,Thammasat University
J Mesee,A5076344022,1,5,Thammasat University
Pimchanok Nuthong,A5076366100,1,73,Thammasat University
R. Daochot,A5076376768,1,3,Thammasat University
Siwal Tatong,A5076414919,1,5,Thammasat University
K. Trongwanichnam,A5076480328,1,8,Thammasat University
Valeeya Tadayin,A5076515496,1,8,Thammasat University
กันต์ ขาวเป็นใย,A5076516088,1,0,Thammasat University
Paitoon Suwitchanphan,A5076592787,1,4,Thammasat University
Thanon Jaiwang,A5076609537,1,5,Thammasat University
Jainnarong Jantan,A5076620268,1,0,Thammasat University
Suwicha Buain,A5076648017,1,0,Thammasat University
Jitlada KUMPA,A5076673789,1,1,Thammasat University
Yukie Nanakorn,A5076693534,1,0,Thammasat University
Pannatat Petchdee,A5076728721,1,2,Thammasat University
Nattakan Thippamom,A5076741941,1,67,Thammasat University
Supphawat Wongwanthanee,A5076745642,1,18,Thammasat University
Teerasarn Kusolmanomai,A5076816863,1,4,Thammasat University
Phethai Kesorn,A5076817210,1,6,Thammasat University
ธนภณ พันธเสน,A5076850531,1,0,Kasetsart University
S. Jirakajohnkool,A5076918444,1,0,Thammasat University
Sitthichok Punlabpho,A5076952348,1,0,Thammasat University
Piyawadee Chanakarn,A5076994150,1,3,Thammasat University
Thanach Ungkhara,A5077065343,1,2,Thammasat University
Komin Poomsaard,A5077097214,1,1,Thammasat University
Suchawalee Jeenapak,A5077097823,1,50,Thammasat University
Suriyawut Kulatee,A5077099652,1,2,Thammasat University
Raweewat Dangton,A5077221018,1,26,Thammasat University
Thanchanok Noochsuparb,A5077228697,1,3,Thammasat University
Thanarath Piyakulpinyo,A5077249251,1,111,Thammasat University
Doungsamon Vorakittikul,A5077311569,1,0,Thammasat University
E. Laksuwong,A5077321807,1,1,Thammasat University
P Iamtrakul,A5077349320,1,1,Thammasat University
Rakpong Saikaew,A5077357638,1,1,Thammasat University
Bundit Ruxsadee,A5077386050,1,2,Thammasat University
Chonlachat Srisompetch,A5077413967,1,0,Thammasat University
Thitirat Chiraunyanan,A5077415614,1,0,Thammasat University
Wannakarn Wanakayont,A5077440815,1,4,Thammasat University
Chawarit Inla,A5077490113,1,1,Thammasat University
Kwansuda Cherdchoongarm,A5077565410,1,0,Thammasat University
Watchara Ngamcitcaroen,A5077567855,1,0,Thammasat University
Nitipud Treeranurat,A5077595549,1,2,Thammasat University
Naris Chareonporn,A5077610543,1,0,Thammasat University
Chankawee Komaratat,A5077635494,1,15,Thammasat University
Supakij Jaitan,A5077643333,1,27,Thammasat University
K. Wong-ek,A5077684298,1,1,Thammasat University
Piraya Sujjavanich,A5077698766,1,0,Thammasat University
ชัยพร อุโฆษจันทร์,A5077712004,1,0,Thammasat University
Pichet Wechasaethnon,A5077730579,1,5,Thammasat University
พรรณฑิภา สายวัฒน์,A5077763727,1,0,Thammasat University
วรางคณา ศรีกําเหนิด,A5077781704,1,0,Thammasat University
P. Jiewpaibul,A5077809820,1,1,Thammasat University
Suparat Deelert,A5077898052,1,14,Thammasat University
Chattavut Sri-on,A5077937543,1,1,Thammasat University
Ratchanon Toncharoen,A5077983111,1,16,Thammasat University
Rantiya Iad-ak,A5077996011,1,5,Thammasat University
Aphinut Srituravanit,A5078078335,1,24,Thammasat University
Kittithep Sukkhon,A5078088702,1,0,Thammasat University
Ketwarang Leelasittikul,A5078184140,1,2,Thammasat University
S. Predawut,A5078212635,1,1,Thammasat University
Tunwarin Sirichotthakun,A5078403587,1,0,Thammasat University
Naree Wannissorn,A5078559592,1,0,Thammasat University
Patrada Thanee,A5078576386,1,0,Thammasat University
Sirikanya Kangsirikul,A5078618119,1,6,Thammasat University
Letrit Sarinnaphakorn,A5078625709,1,57,Thammasat University
Adunyarittigun Dumrong,A5078667450,1,1,Thammasat University
Primabhads Rueangrong,A5078673682,1,0,Thammasat University
Nutsuda Ploysopond,A5078729882,1,0,Thammasat University
Assawin Chomjit,A5078771534,1,30,Thammasat University
Piyada Thongjaem,A5078817336,1,2,Thammasat University
Panattha Suthamprajak,A5078842897,1,18,Thammasat University
Varichmaes Pongparnich,A5078866484,1,7,Thammasat University
Natnicha Wongsap,A5078902311,1,6,Thammasat University
P. Charoen,A5078915004,1,6,Thammasat University
Tanakorn Nimitrchai,A5078964464,1,1,Thammasat University
Chaninporn Thanatthammachote,A5078998503,1,1,Thammasat University
Napassorn Tayagornkul,A5079069630,1,3,Thammasat University
Anuchit Prasertsang,A5079203384,1,3,Thammasat University
Varit Thanarojwongsa,A5079214759,1,3,Thammasat University
Sokkeang Try,A5079222428,1,49,Thammasat University
Suchawadee Diloklap,A5079240343,1,0,Thammasat University
Sureeporn Lohphongphaibul,A5079244280,1,0,Thammasat University
Rom Parnichkun,A5079252943,1,1,Thammasat University
Nantawat Talalak,A5079268721,1,8,Thammasat University
ทัศนีย์ เมธาพิสิฐ,A5079288592,1,0,Thammasat University
S. Boonyasatian,A5079329841,1,3,Thammasat University
Jintana Tantisawat,A5079363705,1,13,Thammasat University
Thanach leelaudom,A5079388929,1,9,Thammasat University
Shalini Navodika Ratnayake,A5079400261,1,2,Thammasat University
Padchaya Srisingchai,A5079458173,1,7,Thammasat University
Nusara Srikitvilaisak,A5079505237,1,0,Thammasat University
Muttika Fungkajai,A5079553613,1,0,Thammasat University
N. Duangkha,A5079566409,1,5,Thammasat University
Yossawee Wangworat,A5079612555,1,16,Thammasat University
Krittavit Dangphet,A5079641867,1,0,Thammasat University
Pakorn Sutthiwaree,A5079674910,1,3,Thammasat University
Ninrat Naksuwan,A5079812428,1,6,Police General Hospital
Kanjapat Temahivong,A5079869758,1,14,Thai Red Cross Society
สุธาสินี ปิยพสุนทรา,A5079905567,1,0,Thammasat University
Nutchanon Charnwutiwong,A5079914066,1,1,Thammasat University
Sripen Supmonchai,A5080031985,1,1,Thammasat University
Soiphet Netanong,A5080099776,1,10,Thammasat University
Pannawat Sriratna,A5080151391,1,1,Thammasat University
Surawat Suetrongtrakool,A5080187055,1,1,Thammasat University
Anchalee Vohakiat,A5080210005,1,61,Thammasat University
P. Sae-ma,A5080441657,1,6,Thammasat University
สรตี ใจสอาด,A5080464380,1,0,Thammasat University
Pankaj N. Sharma,A5080467944,1,6,Thammasat University
S. Worasukhkhung,A5080499063,1,20,Thammasat University
S. Charoensuksira,A5080507055,1,0,Thammasat University
Lalisa Bunmechimma,A5080562229,1,14,Thammasat University
Noiphithak Raywat,A5080573200,1,0,Thammasat University Hospital
Nipaphan Malisorn,A5080605091,1,0,Thammasat University
Pradtana Sitthiwatthanawong,A5080624531,1,9,Thammasat University
Pimpakan Suwanich,A5080668777,1,16,Thammasat University
Yotsakorn Pratumwal,A5080681828,1,13,Thammasat University
Chayanee Penpian,A5080717184,1,0,Thammasat University
Soravit Rodruksa,A5080721922,1,0,Thammasat University
Kittanat Phuphairachaphong,A5080732694,1,2,Thammasat University
Nuthapol Sukpraseart,A5080764001,1,0,Thammasat University
เทพปัญญา เจริญรัตน์,A5080845920,1,0,Men-Tsee-Khang
Nannapat Praesuwatsilp,A5080943132,1,8,Thammasat University
Rarai Tungsarote,A5081132090,1,1,Thammasat University
Kajonpop Rittirong,A5081138584,1,11,Thammasat University
Suwimon Khansompop,A5081174422,1,4,Thammasat University
Pramaun Tangboriboonrat,A5081179625,1,33,Thammasat University
Atipphat Panyasirikhunawut,A5081180543,1,62,Thammasat University
Neeranat Chuenchomphu,A5081224099,1,0,Thammasat University
Itthikorn Prakaisak,A5081252190,1,0,Thammasat University
Vayo Malitong,A5081259655,1,0,Thammasat University
Chayaporn Limpichai,A5081261544,1,2,Thammasat University
Kwansuphang Wongwatanasanti,A5081278311,1,0,Thammasat University
Siripath Peter Kong,A5081294119,1,3,Thammasat University
Watchara Ngamchitcharoen,A5081423597,1,0,Thammasat University
ชมพูนุท คงพุนพิน,A5081566971,1,0,Thammasat University
Khaing Swe Wynn,A5081623612,1,0,Thammasat University
Tanawan Sukanto,A5081684765,1,3,Thammasat University
L Steinrat,A5081847309,1,1,Thammasat University
Chalotorn Kansuntisukmongkol,A5081864302,1,3,Thammasat University
Rachapol Lookmuang,A5081893042,1,85,Thammasat University
Phongpatin Tantipoon,A5081923828,1,0,Thammasat University
W. Hongsakham,A5081931865,1,32,Thammasat University
Thanawat Kitsuksan,A5081943180,1,4,Thammasat University
Syamol Rompipat,A5081953726,1,0,Thammasat University
Veeris Ammarapa,A5081962528,1,0,Thammasat University
Montree Sirarojananan,A5081968190,1,0,Thammasat University
Patnaree Prasongngern,A5081988096,1,0,Thammasat University
Worakamon Pimsiri,A5082025767,1,0,Thammasat University
Supoj Chawawiwat,A5082043029,1,0,Thammasat University
Thalakotunage A. H,A5082057874,1,3,Thammasat University
Karunchai Mabuntham,A5082109541,1,1,Thammasat University
Thanakit Lerttomolsakul,A5082158915,1,16,Thammasat University
Vitoon Viyanant,A5082166829,1,53,Thammasat University
S. Samurpark,A5082217763,1,6,Thammasat University
Sasipa Buranapuntulug,A5082276418,1,0,Thammasat University
Punthita Dabthong,A5082282806,1,2,Thammasat University
Tanakorn Udomsap,A5082309556,1,1,Thammasat University
Piti Pita,A5082310084,1,32,Thammasat University
S. Phinhongthong,A5082329038,1,20,Thammasat University
Wannit Charusirisawad,A5082368558,1,27,Thammasat University
T Kunamaspakorn,A5082388015,1,1,Thammasat University
Duangkamol Kotaraphong,A5082391983,1,1,Thammasat University
Thitimonrat uangchanda,A5082402424,1,1,Thammasat University
John A. Grima,A5082425872,1,3,Thammasat University
Sakchai Wongsakittirak,A5082462391,1,4,Thammasat University
Putthiphak Mutthakalin,A5082464255,1,34,Thammasat University
Orapin Jittawisuthikul,A5082560122,1,4,Thammasat University
พิณทิพย์ ทวยเจริญ,A5082640549,1,0,Thammasat University
Phatsawadee Phakdeesan,A5082657882,1,13,Thammasat University
B Yoysungnoen,A5082690987,1,0,Thammasat University
Raewadd Wisedpanichkij,A5082704139,1,0,Thammasat University
Phatthanayu Phuphasuwan,A5082861213,1,17,Thammasat University
รังรอง เจียมวิจักษณ์,A5082929807,1,0,Thammasat University
Vu Thi Hong Thuy,A5082935280,1,11,Thammasat University
Natthanuch Poonpan,A5082966741,1,12,Thammasat University
Suchai Pongpakpien,A5083008499,1,1,Thammasat University
Hawia Day-ma,A5083071872,1,0,Thammasat University
Boonyarit Tangkakarn,A5083073053,1,6,Thammasat University
Buppa Archanachan,A5083088575,1,19,Thammasat University
Waritsara Chaichanasap,A5083191213,1,7,Thammasat University
K.A.H.S. Sewwandi,A5083199342,1,3,Thammasat University
Lisha Lou,A5083226653,1,6,Thammasat University
Krongkan Nimmanwatthana,A5083233471,1,2,Thammasat University
Surawit Assapun,A5083253014,1,6,Thammasat University
Ekkawit Charoenwanit,A5083298636,1,1,Thammasat University
Wichuda Sodthawon,A5083318967,1,50,Thammasat University
Thanaphon Rianthong,A5083321304,1,2,Thammasat University
H. Punnapayak,A5083348495,1,1,Thammasat University
Rutchana Tainsri,A5083361048,1,1,Thammasat University
Pattita Suwannatrai,A5083362058,1,4,Thammasat University
Ratchanai Kaikeaw,A5083378189,1,0,Thammasat University
Chaem Choi,A5083418412,1,0,Thammasat University
Saiyan Kumpun,A5083459486,1,2,Thammasat University
T. Prakayapan,A5083541535,1,11,Thammasat University
Surapol Rochanapratishtha,A5083599958,1,1,Thammasat University
Songphon Nudchawong,A5083607989,1,3,Thammasat University
Navapol Karnchanaran,A5083704299,1,4,Thammasat University
J. Jaruchattada,A5083721820,1,10,Thammasat University
Bowornsith Nitiyavanich,A5083741911,1,1,Thammasat University
Orawee Dumrongwanich,A5083764231,1,2,Thammasat University
Tipwimol TRIKOOL,A5083778195,1,1,Thammasat University
Sonemany Keolangsy,A5083794010,1,7,Thammasat University
Teepakorn Wongsansukjaroen,A5083853182,1,15,Thammasat University
Jirayod Theppipit,A5083871751,1,6,Thammasat University
Pranisa Boonkham,A5083906428,1,0,Thammasat University
Prapon Toku,A5083923711,1,0,Thammasat University
Thanaphorn Atikij,A5083968270,1,0,Thammasat University
Arpakorn Tantisirithanakorn,A5084029402,1,5,Thammasat University
Worarat Patprakorn,A5084031092,1,0,Thammasat University
Thitiphoom Teptit,A5084047299,1,2,Thammasat University
Suthep Janamporn,A5084103841,1,0,Thammasat University
Kanyapat Traitananan,A5084170878,1,24,Thammasat University
Chayaninee Patthapong,A5084208461,1,0,Thammasat University
พรทิพย์ เฉิดฉินนภา,A5084212095,1,0,Thammasat University
Teeraphan Kaewdok,A5084234548,1,2,Thammasat University
Chanikan Sukkasermsuk,A5084297072,1,0,Thammasat University
Pairat Pengboon,A5084362459,1,28,Thammasat University
Kantamas Burunchai,A5084374316,1,1,Thammasat University
Thanapat Thanapornpavornkul,A5084388671,1,8,Thammasat University
Putpannee Sitachitta,A5084419479,1,0,Thammasat University
Poonhom Sookasang,A5084425643,1,0,Thammasat University
Thanakit Sorasit,A5084431463,1,0,Thammasat University
Siriwan Sengkhui,A5084453573,1,29,Thammasat University
Tritos Laosirihongthrong,A5084481778,1,5,Thammasat University
Anan Krittidetch,A5084506113,1,6,Thammasat University
Manit Noosa,A5084535051,1,1,Thammasat University
Pimolvan Akkapinya,A5084563879,1,0,Thammasat University
Porntip Chompook,A5084564148,1,0,Thammasat University
Suwimol Kanokrattananukul,A5084636016,1,3,Thammasat University
P. Rungmanochai,A5084663665,1,1,Thammasat University
Hataiwan Rattanabanjerdkul,A5084686401,1,2,Thammasat University
S. Sinthupinyo,A5084687120,1,1,Thammasat University
Niracha Iemcha-od,A5084730017,1,3,Thammasat University
Chawanya Chaiwan,A5084744704,1,0,Thammasat University
Tanakarn Sarakam,A5084970277,1,0,Thammasat University
Supawadee Pattanapibulchai,A5085007092,1,1,Thammasat University
Kasemnitichok Yosita,A5085038434,1,4,Thammasat University
Pawinee Phupunporn,A5085049681,1,14,Thammasat University
Pimtawan Nidhi-u-tai,A5085056344,1,1,Thammasat University
Naruson Srivaro,A5085086376,1,0,Thammasat University
J. Tisavipat,A5085110592,1,10,Thammasat University
P. Boonmongkol,A5085225511,1,12,Thammasat University
J. Pongklaokam,A5085240690,1,0,Thammasat University
Noppanon Homsud,A5085273366,1,2,Thammasat University
Tanapon Kliniam,A5085274604,1,2,Thammasat University
Pronphan Verapreyagura,A5085304064,1,0,Thammasat University
Naraporn Indarit,A5085318624,1,58,Thammasat University
Jinjutha Techakumphu,A5085345565,1,1,Thammasat University
L. Uttayan,A5085456559,1,0,Thammasat University
Apisit Rammbuth,A5085611477,1,1,Thammasat University
Sakonporn Tantisuntisom,A5085629587,1,0,Thammasat University
Suthatip Sridetprasart,A5085725843,1,0,Thammasat University
C. Pattaravarangkur,A5085750663,1,6,Thammasat University
J. Intanai,A5085779101,1,3,Thammasat University
Prasirt Runra,A5085825819,1,1,Thammasat University
Tayakorn Kupakanchana,A5085878267,1,0,Thammasat University
Chhengrot Sion,A5085950484,1,1,Thammasat University
ดุจฤทัย วงศ์ไพบูลย์วัฒน,A5085959062,1,0,Thammasat University
คณิน ศรีสาลีกุลรัตน์,A5085970130,1,0,Thammasat University
Kanchanok Itthidechakhachon,A5085996568,1,5,Thammasat University
มณฑล เยี่ยมไพศาล,A5086014099,1,0,Thammasat University
Dilpium Samarasinghe,A5086033159,1,7,Thammasat University
Rutendo Chidzurira,A5086121523,1,0,Thammasat University
S. SUPPUTAMONGKOL,A5086128838,1,43,Thammasat University
Nurak Gridsadanurak,A5086221173,1,12,Faculty (United Kingdom)
Saneh Chamarik,A5086312693,1,0,Thammasat University
Pranee Nanthasri,A5086323869,1,12,Thammasat University
Siriphat Charoenrat,A5086342486,1,10,Kansai University
A Sinsomboon,A5086380450,1,2,Thammasat University
Wichitchai Chansongkram,A5086392239,1,13,Thammasat University
Wipawee Amornwat,A5086404168,1,8,Thammasat University
Pakpoom Oumhalekjit,A5086506425,1,0,Thammasat University
Chrispen Madondo,A5086583807,1,0,Thammasat University
Khanithar Naenudorn,A5086634863,1,0,Thammasat University
Na-Bangchan Kesara,A5086695762,1,4,Thammasat University
Sunisa Menarin,A5086714794,1,0,Thammasat University
Panisa Milindanuth,A5086749275,1,55,Thammasat University
Padipat Mattayasinchai,A5086764577,1,4,Thammasat University
Aphicha Nomsir,A5086922602,1,0,Thammasat University
Pongpat Klumusuk,A5086926239,1,1,Thammasat University
Awanwee Petchkongkeaw,A5086934556,1,6,Thammasat University
Ratchada Sophrom,A5086947320,1,4,Thammasat University
Kornkanok Saksritawee,A5086955004,1,1,Thammasat University
Tran Sy BANG,A5086999651,1,9,Thammasat University
Tanom Tiensawangchai,A5087000558,1,0,Thammasat University
Pongbordin Ukahapunyakul,A5087074295,1,12,Institute of Catalysis and Petrochemistry
Korattana Suwilai,A5087104332,1,0,Thammasat University
Kadidesh Chomkum,A5087110677,1,0,Thammasat University
Natthaphon Tachai,A5087166858,1,2,Thammasat University
Sirada Charoenroongtavee,A5087184260,1,46,Thammasat University
E. Lueangvilai,A5087222720,1,0,Thammasat University
Santiparp Thonpakorb,A5087310149,1,4,Thammasat University
Apipu Pothiluk,A5087312377,1,8,Thammasat University
aimtrakul pawinee,A5087321674,1,0,Thammasat University
Krittapol Boonruang,A5087324658,1,0,Thammasat University
Papavarin Sirikietsoong,A5087326829,1,0,Thammasat University
Taweephol Dechatiwongse Na Ayudthaya,A5087391438,1,0,Thammasat University
Chit-rapee Subsandee,A5087449229,1,0,Thammasat University
W. Kungsumrith,A5087470127,1,1,Thammasat University
V Suangkavathin,A5087565970,1,4,Thammasat University
Tanaporn Krittayanawach,A5087606421,1,10,Thammasat University
Linda Yeh,A5087629370,1,13,Thammasat University
Chinnawat Wongwises,A5087719816,1,0,Thammasat University
S Khantham,A5087725145,1,2,Thammasat University
Siralak Limprasert,A5087775095,1,8,Thammasat University
ขวัญจิตต์ บุญหา,A5087778777,1,0,Thammasat University
สิริการ หนูสิงห์,A5087780075,1,0,Thammasat University
Banthita Intamono,A5087783212,1,1,Thammasat University
Adis Tasnarong,A5087798914,1,89,Thammasat University
Infandra I.Z. Ridwan,A5087808593,1,0,Thammasat University
Pimpatchanok Manaworapong,A5087847525,1,10,Thammasat University
Ratchasak Ranron,A5087897433,1,35,Thammasat University
Kattiya Siriwan,A5088035132,1,0,Thammasat University
Wanwisa Sudsatiantanon,A5088102292,1,0,Thammasat University
Kreingkrai Techakanont,A5088159361,1,5,Thammasat University
Nitipoom Jaroonchaipipat,A5088236653,1,1,Thammasat University
Krittapong Somboon,A5088295826,1,67,Thammasat University
Sirima Mongkolosomit,A5088310948,1,2,Thammasat University
Sirapop Chatarupa,A5088397867,1,0,Thammasat University
Kamonchanok Asisathaporn,A5088415178,1,0,Thammasat University
Pimchanok Sangkeaw,A5088463981,1,0,Thammasat University
Warisara Boonthong,A5088509154,1,1,Thammasat University
Waruni Osatharom,A5088554885,1,1,Thammasat University
Narunporn Wisittiwong,A5088638811,1,15,Thammasat University
Tunradee Meesomboon,A5088649695,1,45,Thammasat University
Apichart Saowapakpongchai,A5088743378,1,4,Thammasat University
Suluck Pattarathammas,A5088776031,1,4,Thammasat University
Anan Rodanan,A5088858662,1,5,Thammasat University
Suchawadee Sillaparat,A5088868805,1,1,Thammasat University
Kornrawee Kornwisitwathin,A5088873866,1,2,Thammasat University
Weerayut SRICHAISIRIWAECH,A5088916547,1,1,Thammasat University
S. Charoensuksira,A5088939985,1,0,Thammasat University
Pheeraphong Adulheem,A5089022945,1,45,Thammasat University
Nattaporn Triemvitaya,A5089096478,1,1,Thammasat University
Chulaluck Kumkong,A5089109294,1,0,Thammasat University
Surya Alhadi,A5089229399,1,4,Thammasat University
Pasin Maruphanton,A5089283666,1,3,Thammasat University
Wanpen Poomarin,A5089367466,1,2,Rajamangala University of Technology
Athiwat Sukanuntathum,A5089377682,1,10,Thammasat University
Hasatorn Saviphan,A5089392796,1,1,Thammasat University
Peerawit Chaichanamongkol,A5089400556,1,0,Thammasat University
T.M. Daniels,A5089428966,1,12,Thammasat University
L. Pipanmaekaporn,A5089449367,1,1,Thammasat University
Chutiphan Lapwonganan,A5089454970,1,0,Thammasat University
Sakchai Vongkittiruk,A5089492250,1,3,Thammasat University
Pornpimol Chongpisal,A5089515414,1,1,Thammasat University
Preediyut Ai-yapark,A5089521323,1,0,Thammasat University
Natlada Meephiw,A5089574256,1,5,Thammasat University
Pongpenn Sirichotiyakul,A5089605983,1,1,Thammasat University
N S Sarunwit Promsaka,A5089623969,1,0,Thammasat University
Wanichada Arnant,A5089654208,1,0,Neurological Institute of Thailand
ดารณี จารีมิตร,A5089663330,1,0,Thammasat University
Sutipon Surathanee,A5089870439,1,0,Thammasat University
Warong Pongstiensak,A5089871615,1,21,Thammasat University
Pran Piyathassrikul,A5089907175,1,0,Thammasat University
Nuttapong Utaivorawit,A5089959206,1,3,Thammasat University
M.Maulana Iberahim,A5090014573,1,1,Thammasat University
Wiphawan Wongthonglua,A5090015424,1,0,Thammasat University
พรพรรณ วีระปรียากูร,A5090017748,1,0,Thammasat University
Virak Khiev,A5090034142,1,4,Thammasat University
S Sukkarnkosol,A5090036027,1,23,Chulabhorn Hospital
Nonthapan Narong,A5090042751,1,0,Thammasat University
Wisarute Pongcharoenkiat,A5090057058,1,11,Thammasat University
Saowapak Usajantragul,A5090061920,1,4,Thammasat University
Teera Sindcharak,A5090080382,1,5,Thammasat University
I.P.D De Silva,A5090082706,1,22,Thammasat University
Chadsupad Tharawan,A5090090322,1,0,Thammasat University
Siripassorn SUKHKHAWUTTIGIT,A5090169042,1,1,Thammasat University
Salinla Kaewdulduk,A5090209448,1,0,Thammasat University
วชิรพงศ์ จ่ากุญชร,A5090211803,1,1,Thammasat University
Wirongrud Boonruang,A5090236541,1,0,Thammasat University
Sumontha Vadhanasin,A5090250989,1,21,Thammasat University
Natthaporn Jaiman,A5090340957,1,23,Thammasat University
Harald Kraus,A5090431451,1,7,Thammasat University
Thanayoot Lertboonnum,A5090440988,1,29,Thammasat University
แคทลียา ปัทมพรหม,A5090447790,1,0,Thammasat University
Jarunsri Choksiriwanna,A5090509853,1,32,Thammasat University
Thanin Tangsuksant,A5090568287,1,10,Thammasat University
Narong Tantarak,A5090703523,1,1,Thammasat University
Nakorn Puapaiboon,A5090735254,1,3,Thammasat University
Wipha Thomyamongkol,A5090737633,1,2,Thammasat University
Tippawan Limsatjapanit,A5090928149,1,0,Thammasat University
Sirikwan Dummanonda,A5090958451,1,23,Thammasat University
Apisara Chuenban,A5090965855,1,1,Thammasat University
Chanokchat Nuchnet,A5091002468,1,4,Thammasat University
Bhudsaban Sukkan,A5091077076,1,3,Thammasat University
Natawadee Chamboonchu,A5091087455,1,19,Thammasat University
Nattaporn Kamsiriphiman,A5091099171,1,8,Thammasat University
Chatchawadee Saralamba,A5091141853,1,1,Thammasat University
M. Wannakarn,A5091143741,1,47,Thammasat University
r Kittichai Akrapipatkul Wiranut Suttisa,A5091174122,1,0,Thammasat University
Thanakarn Sriphanom,A5091190674,1,56,Thammasat University
Jitisak Timjang,A5091263825,1,16,Thammasat University
Phongsit Misa,A5091306482,1,2,Thammasat University
Parnchon Chokprasit,A5091322408,1,1,Thammasat University
Teerayuth Horanont,A5091344766,1,0,Thammasat University
Warissara Kasikonsunthonchai,A5091347723,1,9,Thammasat University
Suriyapong Prasertsiriphan,A5091383093,1,0,Thammasat University
Ornnicha Phanthurat,A5091384722,1,46,Thammasat University
ไอริสา ชั้นศิริ,A5091384987,1,0,Thammasat University
Saran Sriwasutha,A5091417187,1,0,Thammasat University
N. Suwannasri,A5091464569,1,92,Thammasat University
Ruchiwit Kampol,A5091499480,1,1,Thammasat University
Nisarat Jetjongjai,A5091631461,1,0,Thammasat University
Nualchanok Nanon,A5091693820,1,0,Thammasat University
Natthawadee Saenluang,A5091713822,1,5,Thammasat University
Vitsaroot Tanslaruk,A5091719582,1,6,Thammasat University
Chavinthorn MAIYAPAKDEE,A5091721409,1,2,Thammasat University
Piyaporn Pultanasarn,A5091763871,1,4,Thammasat University
Methinee Sanjaiya,A5091812362,1,1,Thammasat University
Areen Phuntarakit,A5091816854,1,0,Thammasat University
C. Chatnarongchai,A5091845125,1,0,Thammasat University
Arunporn Itarat,A5091864845,1,0,Thammasat University
Chulawadee Santad,A5091891090,1,1,Thammasat University
Chayanuch Nopparat,A5091891634,1,0,Thammasat University
Auttapon Chookeaw,A5091976471,1,0,Thammasat University
Kamolrat Suebsor,A5091976472,1,0,Thammasat University
Wiyada Sirichanasub,A5091976473,1,0,Thammasat University
Janyamon Khamlord,A5091976474,1,0,Thammasat University
Ratthapon Wonwandee,A5091982860,1,12,Thammasat University
Abul Kashem Tahmid Shahriar,A5092001132,1,1,Thammasat University
Weera Choopthong,A5092002097,1,3,Thammasat University
Kusuma Sriya,A5092003145,1,1,Hodges University
Poonyapat Boonyarattanasoontorn,A5092015598,1,0,Thammasat University
Duangdaw Pranangrong,A5092049997,1,1,Thammasat University
Ratima Kraikruan,A5092049998,1,1,Thammasat University
Bunthoeurn Khann,A5092060381,1,5,Thammasat University
Chitralada Panchakul,A5092069265,1,2,Thammasat University
Chiajaroenkul Wanna,A5092112318,1,2,Thammasat University
Teeramate Kraisin,A5092116250,1,4,Thammasat University Hospital
Piyanat Jongrak,A5092125832,1,7,Thammasat University
Pathitta Suropan,A5092134853,1,10,Thammasat University
S Tantermsirikul,A5092146066,1,4,Thammasat University
Parita Tanekachon,A5092156326,1,2,Phetchaburi Rajabhat University
Pisutsarun Chitichotpanya,A5092156327,1,2,Thammasat University
Pannita Khantakas,A5092167288,1,2,Thammasat University
Phornchanok Penpitakbut,A5092167289,1,2,Thammasat University
Runyapon Ratsameamonrat,A5092167290,1,2,Thammasat University
Patcharaphorn Patavee,A5092167291,1,2,Thammasat University
Yanika Phetchroj,A5092175548,1,4,Thammasat University
Siriwut Kongnakorn,A5092199636,1,0,Thammasat University
Tinnarat Aromsuk,A5092199637,1,0,Thammasat University
Ekabhat Charnnarong,A5092206916,1,6,Thammasat University
N. Bhanuprabha,A5092212415,1,3,Thammasat University
